Title,Category,Qualification
"Data Analyst, Consumer Hardware",Product & Customer Support,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'engineering', 'economics', 'business', 'related', 'degree', 'equivalent', 'practical', 'experience', '4', 'year', 'experience', 'analytical', 'role', 'business', 'intelligence', 'data', 'analytics', 'statistical', 'consulting', '4', 'year', 'experience', 'sql', 'visualization', 'tool', 'tableau', 'experience', 'designing', 'executing', 'structured', 'analysis', 'deriving', 'business', 'insight', 'evaluating', 'impact', 'business', 'decision', 'experience', 'working', 'developing', 'nontechnical', 'user', 'defining', 'requirement', 'explaining', 'technical', 'concept', 'nontechnical', 'business', 'user', 'etc', 'experience', 'scripting', 'language', 'business', 'intelligence', 'tool', 'demonstrated', 'ability', 'analyze', 'complex', 'datasets', 'fastpaced', 'environment', 'ability', 'work', 'strategically', 'objectively', 'ability', 'deal', 'prioritize', 'multiple', 'priority', 'driving', 'towards', 'pragmatic', 'decision', 'excellent', 'oral', 'written', 'communication', 'skill', 'ability', 'communicate', 'finding', 'structured', 'clear', 'manner', 'nontechnical', 'audience']"
Partner Onboarding Manager (Americas),Partnerships,"['bachelor', 'degree', 'equivalent', 'practical', 'experience', '5', 'year', 'experience', 'program', 'management', 'partner', 'development', 'channel', 'sale', 'role', 'business', 'technology', 'market', 'master', 'degree', 'technical', 'field', 'computer', 'sciencesoftware', 'engineering', 'mbachelor', 'art', '10', 'year', 'partner', 'program', 'experience', 'enterprise', 'software', 'cloud', 'company', 'experience', 'competitive', 'partner', 'program', 'experience', 'transition', 'channel', 'model', 'include', 'cloud', 'saas', 'service', 'advisory', 'program', 'ability', 'collaborate', 'build', 'relationship', 'individual', 'varying', 'level', 'experience', 'department', 'function', 'passionate', 'partner', 'possessing', 'drive', 'achieve', 'quick', 'result', 'capacity', 'assume', 'increasing', 'responsibility', 'highly', 'successful', 'fastpaced', 'global', 'organization', 'exceptionally', 'strong', 'communication', 'skill', 'ability', 'effectively', 'converse', 'partner', 'resolve', 'conflict', 'deliver', 'presentation', 'design', 'scalable', 'email', 'correspondence', 'partner']"
"Associate Account Strategist (Ukrainian), GMS Sales",Technical Solutions,"['bachelor', 'degree', 'equivalent', 'practical', 'experience', 'experience', 'internship', 'experience', 'sale', 'customer', 'support', 'account', 'management', 'marketing', 'consulting', 'ability', 'speak', 'write', 'english', 'ukrainian', 'fluently', 'idiomatically', 'experience', 'leading', 'motivating', 'working', 'well', 'others', 'demonstrated', 'bias', 'teamwork', 'demonstrated', 'record', 'managing', 'customizing', 'experience', 'customer', 'base', 'ability', 'multitask', 'manage', 'multiple', 'project', 'time', 'paying', 'attention', 'detail', 'interest', 'working', 'toward', 'strategic', 'goal', 'proactive', 'independent', 'worker', 'highly', 'organized', 'interested', 'difference', 'make', 'individual', 'contribution']"
"Survey Lead, Google Cloud Support",Product & Customer Support,"['bachelor', 'art', 'science', 'degree', 'technical', 'quantitativebusinessoriented', 'field', 'equivalent', 'practical', 'experience', '5', 'year', 'experience', 'market', 'research', 'survey', 'analytics', 'working', 'across', 'multiple', 'functional', 'support', 'operational', 'area', 'experience', 'leading', 'delivering', 'customer', 'initiative', 'including', 'blending', 'survey', 'data', 'customer', 'insight', 'measuring', 'success', 'using', 'customer', 'satisfaction', 'metric', 'experience', 'writing', 'sql', 'query', 'working', 'statistical', 'analysis', 'spss', 'r', 'python', 'tableau', 'experience', 'data', 'analysis', 'principle', 'experiment', 'design', 'survey', 'design', 'analysis', 'clickstream', 'analysis', 'qualitative', 'research', 'mbachelor', 'art', 'm', 'phd', 'degree', 'related', 'quantitative', 'field', 'experience', 'multichannel', 'clientcustomer', 'support', 'environment', 'eg', 'email', 'phone', 'chat', 'social', 'passion', 'drive', 'collaboration', 'deliver', 'executivelevel', 'presentation', 'capability', 'think', 'strategically', 'balancing', 'broad', 'range', 'internal', 'external', 'factor', 'identifying', 'problem', 'proposing', 'solution', 'making', 'decision', 'passion', 'technology', 'ability', 'identify', 'new', 'opportunity', 'drive', 'collaboration', 'deliver', 'highquality', 'complex', 'project', 'across', 'team', 'demonstrated', 'ability', 'build', 'strong', 'relationship', 'level', 'crossfunctional', 'influencer', 'ability', 'consistently', 'deliver', 'quality', 'output', 'high', 'paced', 'dynamic', 'environment', 'work', 'ambiguity', 'ability', 'work', 'tight', 'deadline']"
"Solution Architect, Google Cloud Platform (Apigee)",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'technical', 'engineering', 'field', 'equivalent', 'practical', 'experience', 'programming', 'experience', 'one', 'following', 'java', 'python', 'javascript', 'nodejs', 'c', 'net', 'ruby', 'ability', 'speak', 'write', 'english', 'german', 'french', 'fluently', 'idiomatically', 'experience', 'deep', 'understanding', 'private', 'public', 'hybrid', 'cloud', 'design', 'consideration', 'limitation', 'area', 'virtualization', 'global', 'infrastructure', 'distributed', 'system', 'load', 'balancing', 'networking', 'security', 'experience', 'architecting', 'implementing', 'api', 'based', 'solution', 'sound', 'handson', 'familiarity', 'related', 'standard', 'http', 'rest', 'soap', 'oauth', 'ability', 'communicate', 'effectively', 'influence', 'stakeholder', 'internal', 'external', 'engineering', 'team', 'product', 'development', 'team', 'sale', 'operation', 'team', 'well', 'external', 'google', 'partner', 'end', 'consumer', 'excellent', 'presentation', 'verbal', 'written', 'communication', 'skill']"
"Machine Learning Product Specialist, Google Cloud (EMEA)",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'software', 'engineering', 'field', 'equivalent', 'practical', 'experience', 'experience', 'across', 'cloud', 'computing', 'infrastructure', 'storage', 'platform', 'data', 'well', 'cloud', 'market', 'competitive', 'dynamic', 'customer', 'buying', 'behavior', 'experience', 'working', 'technology', 'machine', 'learningbig', 'data', 'ecosystem', 'ability', 'speak', 'write', 'english', 'fluently', 'idiomatically', 'master', 'degree', 'computer', 'science', 'related', 'technical', 'technical', 'field', 'experience', 'writing', 'code', 'machine', 'learning', 'purpose', 'experience', 'big', 'data', 'platforminfrastructureasaservice', 'paasiaas', 'technology', 'ability', 'advise', 'customer', 'collect', 'data', 'given', 'problem', 'clean', 'visualize', 'extract', 'feature', 'choose', 'right', 'type', 'learning', 'algorithm', 'ability', 'explain', 'demystify', 'relevant', 'technique', 'new', 'machine', 'learning', 'ability', 'advise', 'customer', 'making', 'tradeoff', 'ability', 'quickly', 'learn', 'understand', 'work', 'new', 'emerging', 'technology', 'methodology', 'solution', 'cloud', 'technology', 'space']"
"Software Engineering Manager, Cloud Storage, Site Reliability Engineering",Software Engineering,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'technical', 'field', 'equivalent', 'practical', 'experience', 'experience', 'one', 'c', 'c', 'java', 'go', 'python', 'experience', 'working', 'cloud', 'storage', 'service', 'experience', 'unixlinux', 'system', 'scripting', 'experience', 'shell', 'perl', 'python', 'handson', 'technical', 'experience', 'capable', 'technical', 'deepdives', 'code', 'networking', 'operating', 'system', 'storage', 'yet', 'verbally', 'cognitively', 'agile', 'enough', 'hold', 'strategy', 'discussion', 'google', 'executive', 'team', 'proficiency', 'algorithm', 'data', 'structure', 'complexity', 'analysis', 'software', 'design', 'expertise', 'unixlinux', 'system', 'ip', 'networking', 'performance', 'application', 'issue', 'demonstrated', 'expertise', 'recruiting', 'managing', 'team', 'enthusiastic', 'experienced', 'engineer', 'large', 'scale', 'project', 'expertise', 'problem', 'solving', 'analyzing', 'global', 'scale', 'distributed', 'system', 'effective', 'management', 'communication', 'skill']"
"Global Supply Chain Manager, Display/Touch, Consumer Hardware",Hardware Engineering,"['bachelor', 'art', 'science', 'electrical', 'engineering', 'mechanical', 'engineering', 'related', 'engineering', 'field', 'equivalent', 'practical', 'experience', '3', 'year', 'experience', 'technology', 'industry', 'procurement', 'supply', 'chain', 'management', 'equivalent', 'experience', '5', 'year', 'relevant', 'work', 'experience', 'global', 'supply', 'chain', 'management', 'within', 'consumer', 'electronics', 'knowledge', 'manufacturing', 'supply', 'chain', 'process', 'demonstrated', 'experience', 'collaborating', 'working', 'crossfunctionally', 'engineering', 'team', 'product', 'team', 'experience', 'working', 'partnering', 'supplier', 'experience', 'managing', 'overall', 'ramp', 'readiness', 'engineering', 'operation', 'supplier', 'team', 'experience', 'commodity', 'display', 'touch', 'cover', 'glass', 'excellent', 'communication', 'sourcing', 'consultation', 'collaboration', 'skill', 'ability', 'travel', 'needed']"
"Technical Program Manager, ASIC Development",Program Management,"['bachelor', 'science', 'degree', 'electrical', 'engineering', 'computer', 'engineering', 'computer', 'science', 'related', 'field', 'equivalent', 'practical', 'experience', '5', 'year', 'experience', 'asic', 'development', '2', 'year', 'experience', 'project', 'management', 'equivalent', 'role', 'development', 'hardware', 'software', 'system', 'crossfunctional', 'crossorganizational', 'context', 'master', 'phd', 'degree', 'engineering', 'experience', 'engineer', 'developing', 'hardware', 'software', 'system', 'experience', 'chip', 'development', 'experience', 'asic', 'methodology', 'ip', 'design', 'leading', 'tapeouts', 'track', 'record', 'successful', 'execution', 'within', 'resource', 'schedule', 'constraint', 'ability', 'motivate', 'focus', 'large', 'collaboration', 'reach', 'challenging', 'goal', 'outstanding', 'communication', 'facilitation', 'skill']"
"Quantitative Analyst, Ads Quality",Product & Customer Support,"['phd', 'statistic', 'econometrics', 'related', 'field', 'equivalent', 'practical', 'experience', 'experience', 'analysis', 'modeling', 'data', 'experience', 'r', 'python', 'matlab', 'relevant', 'industry', 'research', 'experience', 'familiarity', 'classical', 'bayesian', 'inference', 'familiarity', 'experimental', 'design', 'principle', 'ability', 'draw', 'conclusion', 'data', 'recommend', 'action', 'demonstrated', 'willingness', 'teach', 'others', 'learn', 'new', 'technique']"
"Software Engineer Manager, Tools and Infrastructure",Software Engineering,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'field', 'equivalent', 'practical', 'experience', 'experience', 'one', 'following', 'programming', 'language', 'java', 'c', 'python', 'experience', 'engineering', 'technical', 'lead', 'managerial', 'capacity', 'master', 'degree', 'phd', 'computer', 'science', 'artificial', 'intelligence', 'machine', 'learning', 'related', 'technical', 'field', 'experience', 'technical', 'leadership', 'people', 'management', 'managing', 'team', 'developer', 'experience', 'managing', 'testdriven', 'development', 'environment', 'dealing', 'code', 'refactoring', 'code', 'bottleneck', 'issue', 'experience', 'frontend', 'web', 'testing', 'infrastructure', 'distributed', 'system', 'architecture', 'experience', 'building', 'test', 'automation', 'framework', 'tool', 'scalable', 'serving', 'component']"
Head of Professional Services,Program Management,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', 'experience', 'creating', 'implementing', 'publichybrid', 'cloud', 'solution', 'architecture', 'largescale', 'enterprise', 'infrastructure', 'migration', 'plan', 'experience', 'managing', 'scaling', 'running', 'technical', 'team', 'using', 'datadriven', 'approach', 'experience', 'onboarding', 'mentoring', 'professionally', 'contributing', 'development', 'teammate', 'ability', 'travel', 'domestically', 'internationally', '30', 'time', 'required', 'experience', 'applicationworkload', 'migration', 'cloudbased', 'enterprise', 'solution', 'eg', 'aws', 'azure', 'google', 'cloud', 'platform', 'etc', 'experience', 'working', 'channel', 'partner', 'system', 'integrator', 'third', 'party', 'developer', 'deliver', 'successful', 'solution', 'demonstrated', 'experience', 'account', 'management', 'client', 'service', 'management', 'consulting', 'demonstrated', 'ability', 'present', 'technical', 'material', 'effectively', 'diverse', 'stakeholder', 'group', 'engage', 'effectively', 'senior', 'executive', 'large', 'enterprise', 'technical', 'nontechnical', 'matter', 'ability', 'work', 'effectively', 'crossfunctional', 'geographically', 'dispersed', 'team', 'customer', 'base']"
"Technical Trainer Manager, Google Cloud",Program Management,"['7', 'year', 'experience', 'technical', 'training', 'role', '5', 'year', 'experience', 'management', 'role', 'experience', 'managing', 'team', 'technical', 'trainer', 'experience', 'cloud', 'infrastructure', 'data', 'machine', 'learning', 'understanding', 'cloud', 'technology', 'experience', 'working', 'global', 'team', 'comfort', 'working', 'fastgrowing', 'dynamic', 'ambiguous', 'environment', 'effective', 'interpersonal', 'skill', 'ability', 'work', 'crossfunctional', 'organization', 'travel', 'internationally', 'required']"
"Partner Sales Engineer, Google Cloud",Technical Solutions,"['bachelor', 'degree', 'computer', 'science', 'related', 'technical', 'field', 'equivalent', 'practical', 'experience', 'experience', 'serving', 'capacity', 'technical', 'sale', 'engineer', 'cloud', 'computing', 'environment', 'equivalent', 'experience', 'customer', 'partnerfacing', 'role', 'including', 'working', 'member', 'professional', 'service', 'solution', 'architect', 'system', 'engineering', 'team', 'ability', 'speak', 'write', 'english', 'local', 'language', 'german', 'arabic', 'italian', 'polish', 'romanian', 'fluently', 'idiomatically', 'ability', 'travel', '40', 'time', 'required', 'visit', 'partner', 'across', 'defined', 'geographic', 'territory', 'experience', 'understanding', 'data', 'information', 'management', 'especially', 'relates', 'big', 'data', 'trend', 'issue', 'within', 'business', 'experience', 'using', 'managing', 'database', 'experience', 'working', 'linux', 'experience', 'software', 'lifecycle', 'build', 'tool', 'well', 'experience', 'architecting', 'developing', 'software', 'scalable', 'distributed', 'system', 'experience', 'architecting', 'developing', 'solution', 'scalable', 'distributed', 'system', 'knowledge', 'enterprise', 'networking', 'identity', 'management', 'system', 'knowledge', 'big', 'data', 'paas', 'saas', 'iaa', 'public', 'cloud', 'related', 'industry', 'technical', 'concept', 'well', 'working', 'knowledge', 'web', 'application', 'development', 'platform', 'related', 'technology', 'ability', 'craft', 'compelling', 'message', 'tailor', 'given', 'audience', 'ability', 'mix', 'deep', 'technical', 'expertise', 'simple', 'everyday', 'language', 'deliver', 'story', 'memorable', 'useful', 'ability', 'quickly', 'learn', 'understand', 'work', 'new', 'emerging', 'technology', 'methodology', 'solution', 'cloud', 'technology', 'space']"
"Technical Solutions Engineer, Chrome and Android, Google Cloud",Technical Solutions,"['bachelor', 'degree', 'computer', 'science', 'related', 'technical', 'field', 'equivalent', 'practical', 'experience', 'experience', 'technical', 'support', 'professional', 'service', 'engineering', 'sustaining', 'engineering', 'system', 'engineering', 'ability', 'undergo', 'additional', 'background', 'check', 'clearance', 'work', 'government', 'client', 'handson', 'experience', 'implementing', 'troubleshooting', 'supporting', 'internetbased', 'application', 'web', 'server', 'mail', 'server', 'eg', 'exchange', 'lotus', 'sendmail', 'postfix', 'linuxunix', 'operating', 'system', 'experience', 'identity', 'management', 'directory', 'service', 'eg', 'ldap', 'ad', 'etc', 'experience', 'managing', 'hosted', 'servicessaas', 'familiarity', 'programmingscripting', 'ie', 'one', 'java', 'c', 'c', 'net', 'python', 'shell', 'perl', 'javascript', 'experience', 'various', 'dbms', 'data', 'mining', 'analysis', 'demonstrated', 'network', 'administration', 'troubleshooting', 'skill', 'understanding', 'linuxunix', 'system', 'administration', 'understanding', 'web', 'mailrelated', 'standard', 'http', 'html', 'xml', 'cookiebased', 'sso', 'smtp', 'demonstrated', 'resourcefulness', 'attention', 'detail', 'ability', 'keep', 'pace', 'rapid', 'change', 'enterprise', 'product', 'effective', 'communication', 'skill', 'written', 'verbal', 'along', 'outstanding', 'troubleshooting', 'followthrough', 'problemsolving', 'skill']"
"Program Manager, Supply Chain Data Management",Data Center & Network,"['5', 'year', 'experience', 'supply', 'chain', 'operation', 'across', 'technical', 'networking', 'field', 'experience', 'program', 'management', 'role', 'leading', 'data', 'management', 'solution', 'ability', 'work', 'independently', 'minimal', 'guidance', 'manage', 'range', 'project', 'excellent', 'organizational', 'communication', 'project', 'management', 'skill']"
"Head of Partner Engineering, Google Cloud",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'software', 'engineering', 'field', 'equivalent', 'practical', 'experience', '10', 'year', 'experience', 'technical', 'role', '5', 'year', 'experience', 'working', 'within', 'cloud', 'working', 'client', 'across', 'japac', 'partner', 'aligned', 'role', 'master', 'degree', 'computer', 'science', 'relevant', 'technical', 'field', 'industry', 'certification', 'cloud', 'provider', 'experience', 'cloud', 'computing', 'broad', 'set', 'skill', 'infrastructure', 'storage', 'networking', 'platform', 'data', 'security', 'knowledge', 'cloud', 'market', 'competitive', 'dynamic', 'customer', 'buying', 'behavior', 'familiarity', 'one', 'common', 'web', 'mobile', 'development', 'language', 'java', 'python', 'go', 'php', 'javascript', 'etc', 'demonstrated', 'leadership', 'building', 'leading', 'team', 'across', 'multiple', 'geography', 'speaking', 'large', 'event', 'covering', 'keynote', 'topic', 'innovation', 'technology']"
"Presales Manager, New Business Development",Program Management,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '3', 'year', 'experience', 'role', 'working', 'towards', 'strategic', 'goal', 'experience', 'sale', 'management', 'sale', 'operation', 'including', 'comfort', 'metric', 'incentive', 'tool', 'training', 'process', 'improvement', 'experience', 'planning', 'forecasting', 'business', 'goal', 'leading', 'business', 'review', 'ability', 'navigate', 'operate', 'across', 'complex', 'crossfunctional', 'environment']"
"Technical Solutions Consultant, Google Technical Services (English, German)",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'technical', 'subject', 'equivalent', 'practical', 'experience', 'experience', 'web', 'technology', 'html', 'cs', 'javascript', 'http', 'experience', 'one', 'programming', 'language', 'including', 'java', 'c', 'python', 'etc', 'ability', 'speak', 'write', 'english', 'german', 'fluently', 'idiomatically', 'experience', 'working', 'managing', 'external', 'partnerscustomers', 'familiarity', 'sqlmysql', 'unixlinux', 'operating', 'systemscommands', 'demonstrated', 'ability', 'adapt', 'message', 'technical', 'level', 'audience', 'comfort', 'presenting', 'technical', 'material', 'group', 'size', 'background', 'excellent', 'project', 'management', 'skill', 'attention', 'detail', 'excellent', 'problem', 'solving', 'analytical', 'troubleshooting', 'skill']"
"Solutions Consultant, Ads, Google Professional Services",Product & Customer Support,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'equivalent', 'practical', 'experience', 'experience', 'working', 'sql', 'html', 'javascript', 'unixlinux', 'experience', 'working', 'clientfacing', 'capacity', 'experience', 'managing', 'technical', 'system', 'implementation', 'project', 'consulting', 'industry', 'familiarity', 'ad', 'serving', 'industry', 'ad', 'exchange', 'network', 'knowledge', 'google', 'platform', 'doubleclick', 'bid', 'manager', 'doubleclick', 'advertiser', 'doubleclick', 'search', 'v3', 'doubleclick', 'publisher', 'adwords', 'demonstrated', 'ability', 'flexibleadaptable', 'exercising', 'judgment', 'dynamic', 'environment', 'able', 'manage', 'competing', 'priority', 'ability', 'absorb', 'complex', 'technical', 'concept', 'communicate', 'nontechnical', 'audience', 'effectively']"
"Chief of Staff, Google Hardware",Business Strategy,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '12', 'year', 'experience', 'strategy', 'stakeholder', 'project', 'management', 'experience', 'finance', 'strategy', 'management', 'consulting', 'mbachelor', 'art', 'graduate', 'degree', 'experience', 'partnering', 'effectively', 'crossfunctional', 'team', 'project', 'experience', 'working', 'external', 'clevel', 'partner', 'understanding', 'consumer', 'product', 'including', 'retail', 'distribution', 'ability', 'work', 'across', 'multiple', 'function', 'including', 'sale', 'communication', 'finance', 'working', 'knowledge', 'product', 'engineering', 'marketing', 'legal', 'hr', 'operation', 'ability', 'effectively', 'influence', 'communicate', 'crossfunctionally', 'level', 'management', 'exceptional', 'verbal', 'written', 'communication', 'skill', 'effective', 'program', 'management', 'skill', 'demonstrated', 'ability', 'lead', 'complex', 'strategic', 'operational', 'initiative']"
